ID_PARADA,CODIGO_PARADA,NOMBRE_PARADA,COMUNA_PARADA,TOTAL_SUBE,TOTAL_BAJA,EVENTOS,LAT_PARADA,LON_PARADA,TOTAL_DEMANDA
19.0,10-5-SN,Cienfuegos  esq.  Cantournet,La Serena,14022,10716,9350,-29.90222784,-71.2470263345,24738
69.0,34-0-NS,Las Pircas  esq.  El Portezuelo,La Serena,9700,9564,8371,-29.8884527465,-71.2183882204,19264
28.0,15-0-NS,El Santo  esq.  Vicente Huidobro,La Serena,9597,6175,5295,-29.912018274,-71.256283637,15772
17.0,10-0-SN,Cienfuegos  esq.  Domeyko,La Serena,6184,7001,7147,-29.9058364744,-71.2484696497,13185
114.0,50-0-NS,Pedro Pablo Munoz  esq.  Francisco de Aguirre,La Serena,7655,4857,4980,-29.9062763983,-71.2543786879,12512
141.0,51-65-SN,Presidente Jose Manuel Balmaceda  esq.  Amunategui,La Serena,2882,6762,5423,-29.9102623523,-71.250046509,9644
138.0,51-55-SN,Presidente Jose Manuel Balmaceda  esq.  Juan Soldado,La Serena,3476,6159,5304,-29.9164303334,-71.2528372217,9635
34.0,18-0-SN,Francisco Antonio Varela  esq.  Diego Portales,Coquimbo,2800,6789,3047,-29.95795806,-71.3380603676,9589
12.0,6-5-SN,Benavente  esq.  Amunategui,La Serena,2882,5456,4338,-29.9097547686,-71.246901668,8338
61.0,27-0-NS,Ruta 5 esq.  Eduardo de la Barra,La Serena,3228,4740,4234,-29.9027217271,-71.2566558876,7968
40.0,21-0-PO,Guacolda  esq.  Manuel Rodriguez,Coquimbo,2679,5037,3341,-29.96156444,-71.3490588454,7716
10.0,5-0-SN,Bandera  esq.  La Reconquista,La Serena,1299,6340,4368,-29.8865739657,-71.24352835,7639
162.0,59-0-PO,Vina del Mar  esq.  Pedro Aguirre Cerda,La Serena,4136,3306,3529,-29.8715475796,-71.2465923362,7442
64.0,30-0-NS,La Conquista  esq.  Alejandro Flores,La Serena,1510,5843,3900,-29.8836054931,-71.2450321366,7353
49.0,25-25-PO,Gaspar Marin  esq.  Roberto Ochoa,La Serena,1147,5471,3195,-29.88567333,-71.2248750611,6618
132.0,51-45-SN,Presidente Jose Manuel Balmaceda  esq.  Las Higueras,La Serena,2497,3426,4331,-29.9209468373,-71.2551227921,5923
124.0,51-25-SN,Presidente Jose Manuel Balmaceda  esq.  Arica SN,La Serena,2551,3361,3701,-29.9320495382,-71.2594225599,5912
140.0,51-60-SN,Presidente Jose Manuel Balmaceda  esq.  Anima de Diego,La Serena,2380,3417,4039,-29.91256328,-71.2508699467,5797
39.0,20-0-PO,Francisco de Aguirre  esq.  Isabel Riquelme,La Serena,3465,2288,2642,-29.9059658494,-71.2557725322,5753
1.0,60-0-PO,Alberto Hurtado Cruchaga esq. Manuel Ramírez Cifuentes,Coquimbo,443,5303,3365,-30.0042086,-71.3269305,5746
126.0,51-30-SN,Presidente Jose Manuel Balmaceda  esq.  Jose Zapiola,La Serena,2146,3422,3321,-29.9279087956,-71.25815822,5568
24.0,13-15-NS,El Islon  esq.  Costanera,La Serena,4525,785,2921,-29.89328399,-71.2498334757,5310
157.0,57-0-SN,Videla  esq.  Los Manzanos,Coquimbo,623,4334,2289,-29.9670734955,-71.3356013207,4957
88.0,40-5-PO,Los Morros  esq.  Los Arenales,La Serena,1353,3568,4185,-29.8876487694,-71.2186047604,4921
27.0,14-5-SN,El Libertador  esq.  Balada,La Serena,273,4632,2977,-29.8904282026,-71.2433826553,4905
128.0,51-35-SN,Presidente Jose Manuel Balmaceda  esq.  Mercedes Cervello SN,La Serena,2643,2209,3246,-29.92446807,-71.2568536358,4852
127.0,51-35-NS,Presidente Jose Manuel Balmaceda  esq.  Arica NS,La Serena,2169,2641,3110,-29.9319785035,-71.2596211405,4810
164.0,61-0-SN,Pacheco Altamirano esq. Regimiento Arica,Coquimbo,2188,2610,2879,-29.9503421023,-71.268198257,4798
118.0,51-10-SN,Presidente Jose Manuel Balmaceda  esq.  Los Lucumos SN,La Serena,2372,2362,2929,-29.9432276278,-71.2645637404,4734
78.0,36-25-NS,Los Clarines  esq.  Glorias Navales,Coquimbo,579,4027,2446,-29.992763116,-71.3289507574,4606
72.0,36-10-NS,Los Clarines  esq.  Fernando Carreno,Coquimbo,989,3569,2741,-29.9862524355,-71.334475413,4558
125.0,51-30-NS,Presidente Jose Manuel Balmaceda  esq.  Iris Adriana Torres Ceballos,La Serena,1613,2558,2564,-29.92786858,-71.2583744385,4171
87.0,40-0-PO,Los Morros  esq.  Las Acequias,La Serena,252,3899,2246,-29.8871216956,-71.2206574456,4151
