ID_PARADA,CODIGO_PARADA,NOMBRE_PARADA,COMUNA_PARADA,SERVICIO,SENTIDO_LABEL,SUBE,BAJA,DEMANDA
0.0,60-0-OP,Alberto Hurtado Cruchaga esq. El Sauce,Coquimbo,E01,I,34,55,89
0.0,60-0-OP,Alberto Hurtado Cruchaga esq. El Sauce,Coquimbo,E01,R,1492,553,2045
0.0,60-0-OP,Alberto Hurtado Cruchaga esq. El Sauce,Coquimbo,E02,I,0,0,0
0.0,60-0-OP,Alberto Hurtado Cruchaga esq. El Sauce,Coquimbo,E02,R,1001,223,1224
1.0,60-0-PO,Alberto Hurtado Cruchaga esq. Manuel Ramírez Cifuentes,Coquimbo,E01,I,100,306,406
1.0,60-0-PO,Alberto Hurtado Cruchaga esq. Manuel Ramírez Cifuentes,Coquimbo,E01,R,206,2910,3116
1.0,60-0-PO,Alberto Hurtado Cruchaga esq. Manuel Ramírez Cifuentes,Coquimbo,E02,I,0,0,0
1.0,60-0-PO,Alberto Hurtado Cruchaga esq. Manuel Ramírez Cifuentes,Coquimbo,E02,R,137,2087,2224
2.0,1-0-OP,Alejandro Flores  esq.  Rio Campanario,La Serena,E01,I,8,0,8
2.0,1-0-OP,Alejandro Flores  esq.  Rio Campanario,La Serena,E02,I,900,126,1026
3.0,2-0-NS,Anibal Pinto  esq.  Barros Borgono,Coquimbo,E02,R,145,172,317
4.0,2-5-NS,Anibal Pinto  esq.  Diego Portales,Coquimbo,E02,R,1419,537,1956
5.0,3-0-NS,Arturo Alessandri  esq.  Tierra del Fuego,Coquimbo,E01,I,1,1,2
5.0,3-0-NS,Arturo Alessandri  esq.  Tierra del Fuego,Coquimbo,E01,R,506,1022,1528
5.0,3-0-NS,Arturo Alessandri  esq.  Tierra del Fuego,Coquimbo,E02,R,3,0,3
6.0,3-0-SN,Arturo Alessandri  esq. Nueva,Coquimbo,E01,R,128,114,242
6.0,3-0-SN,Arturo Alessandri  esq. Nueva,Coquimbo,E02,R,0,1,1
7.0,3-5-SN,Arturo Alessandri  esq.  Manuel Jesus Rivera,Coquimbo,E01,I,0,27,27
7.0,3-5-SN,Arturo Alessandri  esq.  Manuel Jesus Rivera,Coquimbo,E01,R,670,396,1066
7.0,3-5-SN,Arturo Alessandri  esq.  Manuel Jesus Rivera,Coquimbo,E02,R,1,1,2
8.0,4-0-NS,Avenida Los Lagos  esq.  Avenida Beltran Amenabar,Coquimbo,E01,I,55,46,101
8.0,4-0-NS,Avenida Los Lagos  esq.  Avenida Beltran Amenabar,Coquimbo,E01,R,17,25,42
8.0,4-0-NS,Avenida Los Lagos  esq.  Avenida Beltran Amenabar,Coquimbo,E02,I,749,588,1337
8.0,4-0-NS,Avenida Los Lagos  esq.  Avenida Beltran Amenabar,Coquimbo,E02,R,65,86,151
9.0,4-15-PO,Avenida Los Lagos  esq.  Presidente Jose Manuel Balmaceda,Coquimbo,E01,I,104,161,265
9.0,4-15-PO,Avenida Los Lagos  esq.  Presidente Jose Manuel Balmaceda,Coquimbo,E01,R,41,49,90
9.0,4-15-PO,Avenida Los Lagos  esq.  Presidente Jose Manuel Balmaceda,Coquimbo,E02,I,1163,1529,2692
9.0,4-15-PO,Avenida Los Lagos  esq.  Presidente Jose Manuel Balmaceda,Coquimbo,E02,R,1,5,6
10.0,5-0-SN,Bandera  esq.  La Reconquista,La Serena,E01,I,877,3133,4010
10.0,5-0-SN,Bandera  esq.  La Reconquista,La Serena,E01,R,0,1,1
10.0,5-0-SN,Bandera  esq.  La Reconquista,La Serena,E02,I,422,3206,3628
11.0,6-0-SN,Benavente  esq.  Franscisco de Aguirre,La Serena,E01,I,787,981,1768
11.0,6-0-SN,Benavente  esq.  Franscisco de Aguirre,La Serena,E02,I,520,902,1422
12.0,6-5-SN,Benavente  esq.  Amunategui,La Serena,E01,I,1714,3078,4792
12.0,6-5-SN,Benavente  esq.  Amunategui,La Serena,E01,R,0,10,10
12.0,6-5-SN,Benavente  esq.  Amunategui,La Serena,E02,I,1168,2368,3536
13.0,7-0-NS,Brillador  esq. Mercedes Marin del Solar,La Serena,E01,I,4,0,4
13.0,7-0-NS,Brillador  esq. Mercedes Marin del Solar,La Serena,E02,I,39,6,45
14.0,7-5-NS,Brillador  esq.  Samuel Roman Rojas,La Serena,E01,I,3,0,3
14.0,7-5-NS,Brillador  esq.  Samuel Roman Rojas,La Serena,E02,I,1544,191,1735
15.0,8-0-PO,Camilo Henriquez  esq.  Carrera,Coquimbo,E01,R,0,0,0
15.0,8-0-PO,Camilo Henriquez  esq.  Carrera,Coquimbo,E02,I,1,1,2
15.0,8-0-PO,Camilo Henriquez  esq.  Carrera,Coquimbo,E02,R,152,87,239
16.0,9-0-NS,Carlos Munoz Pizarro  esq.  Portugal Sur,Coquimbo,E01,I,2,3,5
16.0,9-0-NS,Carlos Munoz Pizarro  esq.  Portugal Sur,Coquimbo,E01,R,390,600,990
16.0,9-0-NS,Carlos Munoz Pizarro  esq.  Portugal Sur,Coquimbo,E02,I,0,1,1
16.0,9-0-NS,Carlos Munoz Pizarro  esq.  Portugal Sur,Coquimbo,E02,R,5,0,5
17.0,10-0-SN,Cienfuegos  esq.  Domeyko,La Serena,E01,I,3738,3596,7334
17.0,10-0-SN,Cienfuegos  esq.  Domeyko,La Serena,E02,I,2446,3405,5851
18.0,10-15-SN,Cienfuegos  esq.  Diego de Almagro,La Serena,E01,I,340,353,693
18.0,10-15-SN,Cienfuegos  esq.  Diego de Almagro,La Serena,E02,I,214,368,582
19.0,10-5-SN,Cienfuegos  esq.  Cantournet,La Serena,E01,I,8850,5401,14251
19.0,10-5-SN,Cienfuegos  esq.  Cantournet,La Serena,E02,I,5172,5304,10476
19.0,10-5-SN,Cienfuegos  esq.  Cantournet,La Serena,E02,R,0,11,11
20.0,11-0-SN,Circunvalacion Presidente Salvador Allende  esq.  Tulipanes,Coquimbo,E01,I,25,23,48
20.0,11-0-SN,Circunvalacion Presidente Salvador Allende  esq.  Tulipanes,Coquimbo,E01,R,168,158,326
